student_id,name,gender,university_name,university_type,department,semester/year,cgpa,subjects,attendance_percentage,study_hours_per_day,weak_subjects,strong_subjects,district,device_usage_time,preferred_study_time,exam_score,historical_scores,risk_level
U01230,Sadia Ahmed,Female,United International University,Private,International Law,"Year 3, Spring",3.45,"Jurisprudence, Criminal Law, Constitutional Law, Civil Procedure",97.0,2.8,"Jurisprudence, Criminal Law",Constitutional Law,Jessore,2.9,Morning,88.3,"85.4,78.7,90.3,82.4,88.3",Medium
U01231,Afia Sarker,Female,"Independent University, Bangladesh",Private,Microbiology,"Year 4, Summer",3.13,"Genetics, Clinical Pharmacy, Human Anatomy, Organic Chemistry",77.2,8.7,"Genetics, Clinical Pharmacy",Human Anatomy,Cumilla,5.2,Night,73.6,"77.5,70.4,73.4,72.8,73.6",Low
U01232,Fariha Ali,Female,North South University,Private,Environmental Science,"Year 4, Spring",3.39,"Climate Change, Ecology, Soil Science, Sustainable Development",93.1,7.7,"Sustainable Development, Soil Science",Ecology,Bogura,7.6,Morning,87.6,"89.3,90.3,81.1,89.7,87.6",Low
U01233,Mahmud Ali,Male,United International University,Private,International Relations,"Year 4, Spring",3.15,"World History, Political Science, Research Methodology, Social Psychology",66.5,4.7,"Political Science, Social Psychology",Research Methodology,Bogura,3.3,Morning,74.8,"65.9,67.5,74.7,67.1,74.8",Medium
U01234,Sadia Akter,Female,Ahsanullah University of Science and Technology,Private,MIS,"Year 3, Spring",3.78,"Principles of Management, Business Law, Microeconomics, Marketing Strategy, Financial Accounting",82.6,6.7,Financial Accounting,"Microeconomics, Principles of Management",Rangpur,5.0,Morning,92.8,"87.8,88.3,85.2,83.6,92.8",Low
U01235,Mariam Rahman,Female,"Independent University, Bangladesh",Private,Civil Engineering,"Year 2, Summer",4.0,"Circuit Analysis, Machine Learning, Thermodynamics, Database Systems",98.0,3.4,Thermodynamics,Database Systems,Tangail,7.3,Evening,100,"100,100,92.6,100,100",Medium
U01236,Karim Hasan,Male,American International University-Bangladesh,Private,BBA,"Year 2, Summer",2.92,"Principles of Management, Business Law, Financial Accounting, Microeconomics",58.7,4.6,Principles of Management,"Microeconomics, Business Law",Mymensingh,5.8,Morning,73.6,"76.9,73.7,69.5,75.6,73.6",High
U01237,Jahid Rahman,Male,BRAC University,Private,Marketing,"Year 1, Summer",3.19,"Microeconomics, Business Law, Principles of Management, Financial Accounting",70.4,5.3,"Financial Accounting, Principles of Management","Business Law, Microeconomics",Khulna,6.8,Night,81.3,"71.9,76.1,79.1,85.0,81.3",Medium
U01238,Rafi Hasan,Male,University of Liberal Arts Bangladesh,Private,MIS,"Year 4, Spring",3.59,"Principles of Management, Microeconomics, Business Law, Financial Accounting, Marketing Strategy",75.8,8.9,Microeconomics,Marketing Strategy,Gazipur,5.7,Morning,90.3,"83.9,95.1,92.8,83.6,90.3",Low
U01239,Imtiaz Islam,Male,North South University,Private,International Law,"Year 3, Spring",2.59,"Jurisprudence, Criminal Law, Civil Procedure, Constitutional Law",66.2,5.9,Constitutional Law,"Criminal Law, Jurisprudence",Rangpur,5.5,Evening,65.9,"61.0,65.3,58.0,63.7,65.9",Medium
U01240,Arif Begum,Male,American International University-Bangladesh,Private,LLB,"Year 3, Spring",2.54,"Civil Procedure, Criminal Law, Constitutional Law, Jurisprudence",75.3,7.0,"Criminal Law, Civil Procedure","Jurisprudence, Constitutional Law",Bogura,6.8,Afternoon,62.2,"53.1,63.9,55.9,65.6,62.2",Medium
U01241,Afia Hasan,Female,North South University,Private,Environmental Science,"Year 1, Fall",3.03,"Climate Change, Sustainable Development, Ecology, Soil Science",99,6.5,Ecology,Soil Science,Mymensingh,8.5,Night,75.7,"80.3,71.0,74.4,77.0,75.7",Low
U01242,Tanvir Hossain,Male,"Independent University, Bangladesh",Private,Journalism,"Year 2, Fall",3.62,"Literary Criticism, Mass Communication, Ethics, History of Art",88.7,1,"History of Art, Literary Criticism",Ethics,Cumilla,7.2,Afternoon,89.9,"83.3,81.4,81.1,92.6,89.9",High
U01243,Jannat Khan,Female,American International University-Bangladesh,Private,Environmental Science,"Year 2, Summer",3.55,"Sustainable Development, Soil Science, Climate Change, Ecology",88.5,7.9,"Climate Change, Ecology",Soil Science,Bogura,9.3,Morning,84.0,"87.2,88.3,88.8,78.5,84.0",Low
U01244,Nabil Uddin,Male,Ahsanullah University of Science and Technology,Private,MIS,"Year 3, Summer",3.6,"Business Law, Financial Accounting, Marketing Strategy, Principles of Management",66.1,7.6,Principles of Management,Financial Accounting,Cox's Bazar,9.0,Evening,92.0,"88.3,86.4,95.9,94.3,92.0",Medium
U01245,Fariha Ali,Female,Comilla University,Public,Philosophy,"Year 3, Summer",3.78,"Ethics, History of Art, Mass Communication, Literary Criticism",91.2,6.7,"History of Art, Mass Communication","Literary Criticism, Ethics",Tangail,8.4,Night,95.0,"91.9,91.7,91.5,92.9,95.0",Low
U01246,Tasnia Begum,Female,CUET,Public,Journalism,"Year 1, Spring",3.37,"Ethics, History of Art, Literary Criticism, Mass Communication",92.3,1.3,"History of Art, Ethics","Mass Communication, Literary Criticism",Kushtia,5.6,Afternoon,85.3,"78.1,75.8,88.1,85.3,85.3",High
U01247,Fahim Khan,Male,Ahsanullah University of Science and Technology,Private,Biotechnology,"Year 2, Fall",2.94,"Genetics, Clinical Pharmacy, Human Anatomy, Organic Chemistry",92.7,4.2,Genetics,"Organic Chemistry, Human Anatomy",Barishal,8.3,Afternoon,69.2,"60.6,61.9,71.3,60.0,69.2",Medium
U01248,Raisa Rahman,Female,BRAC University,Private,Software Engineering,"Year 3, Summer",2.85,"Database Systems, Circuit Analysis, Algorithms, Data Structures, Machine Learning, Thermodynamics",78.7,5.0,"Machine Learning, Data Structures","Database Systems, Circuit Analysis",Kushtia,4.9,Night,71.7,"70.2,66.7,76.0,64.2,71.7",Medium
U01249,Sadia Khan,Female,East West University,Private,Sociology,"Year 3, Summer",3.24,"Research Methodology, Political Science, World History, Social Psychology",50,5.6,"Research Methodology, World History",Social Psychology,Rangpur,9.1,Morning,84.6,"86.7,86.9,81.1,86.6,84.6",High
U01250,Mim Hasan,Female,United International University,Private,HRM,"Year 3, Fall",3.11,"Marketing Strategy, Microeconomics, Business Law, Financial Accounting, Principles of Management",65.3,4.1,"Business Law, Microeconomics",Marketing Strategy,Mymensingh,3.3,Night,77.7,"75.1,68.5,77.9,70.3,77.7",Medium
U01251,Nadia Hasan,Female,American International University-Bangladesh,Private,Civil Engineering,"Year 3, Spring",3.37,"Data Structures, Circuit Analysis, Database Systems, Algorithms, Machine Learning, Thermodynamics",67.1,4.9,"Circuit Analysis, Data Structures","Algorithms, Thermodynamics",Sylhet,4.9,Night,87.9,"88.5,83.9,91.3,92.2,87.9",Medium
U01252,Tanjila Khan,Female,Daffodil International University,Private,Software Engineering,"Year 3, Summer",3.41,"Data Structures, Circuit Analysis, Machine Learning, Database Systems",73.4,4.4,Machine Learning,"Database Systems, Data Structures",Rajshahi,8.1,Night,86.9,"91.8,91.4,79.3,86.8,86.9",Medium
U01253,Sajid Hossain,Male,BRAC University,Private,Civil Engineering,"Year 2, Summer",2.48,"Machine Learning, Database Systems, Thermodynamics, Data Structures",84.4,4.9,"Thermodynamics, Machine Learning","Database Systems, Data Structures",Mymensingh,4.5,Evening,60.9,"58.0,53.5,52.3,57.9,60.9",High
U01254,Mahmud Ahmed,Male,Chittagong University,Public,Marketing,"Year 3, Spring",2.59,"Marketing Strategy, Financial Accounting, Business Law, Microeconomics, Principles of Management",88.5,5.1,"Marketing Strategy, Principles of Management","Microeconomics, Financial Accounting",Bogura,9.7,Evening,62.4,"54.0,57.9,64.3,52.5,62.4",Medium
U01255,Mariam Hossain,Female,Rajshahi University,Public,Marketing,"Year 3, Fall",2.94,"Microeconomics, Principles of Management, Business Law, Financial Accounting",93.1,6.2,Principles of Management,Business Law,Mymensingh,1,Night,74.1,"77.2,70.7,78.7,74.5,74.1",Medium
U01256,Arif Ali,Male,Noakhali Science and Technology University,Public,Agriculture,"Year 3, Spring",2.89,"Climate Change, Soil Science, Sustainable Development, Ecology",61.1,8.7,Soil Science,Climate Change,Kushtia,5.6,Afternoon,67.4,"69.2,68.6,71.5,59.3,67.4",Medium
U01257,Mariam Ahmed,Female,KUET,Public,Anthropology,"Year 3, Summer",3.21,"Research Methodology, Political Science, World History, Social Psychology",84.4,5.1,Social Psychology,"Political Science, World History",Sylhet,3.3,Afternoon,75.3,"78.7,67.9,66.3,79.1,75.3",Low
U01258,Mahmud Hasan,Male,Noakhali Science and Technology University,Public,Finance,"Year 1, Spring",3.28,"Microeconomics, Business Law, Financial Accounting, Principles of Management",92.0,6.8,"Financial Accounting, Microeconomics",Business Law,Rajshahi,6.0,Morning,86.1,"85.3,77.6,79.1,77.4,86.1",Low
U01259,Imtiaz Islam,Male,United International University,Private,Agriculture,"Year 4, Spring",2.68,"Climate Change, Soil Science, Sustainable Development, Ecology",65.6,4.8,Ecology,"Climate Change, Sustainable Development",Dhaka,7.6,Afternoon,65.4,"55.4,67.2,69.8,65.1,65.4",Medium
U01260,Mim Islam,Female,"Independent University, Bangladesh",Private,International Relations,"Year 3, Spring",3.66,"Political Science, Social Psychology, Research Methodology, World History",65.8,1,"Political Science, Research Methodology",World History,Jessore,4.8,Afternoon,93.6,"88.1,84.1,88.9,87.3,93.6",High
U01261,Nabila Begum,Female,United International University,Private,Nursing,"Year 4, Fall",3.73,"Genetics, Human Anatomy, Pharmacology, Clinical Pharmacy",81.3,2.8,Pharmacology,"Clinical Pharmacy, Human Anatomy",Tangail,7.4,Morning,93.0,"83.6,90.5,94.8,87.0,93.0",Medium
U01262,Jannat Uddin,Female,"Independent University, Bangladesh",Private,Marketing,"Year 4, Fall",3.16,"Principles of Management, Marketing Strategy, Business Law, Microeconomics, Financial Accounting",77.7,3.0,"Principles of Management, Financial Accounting",Business Law,Mymensingh,7.3,Afternoon,78.4,"68.6,68.7,78.8,76.3,78.4",Medium
U01263,Nusrat Akter,Female,East West University,Private,Marketing,"Year 3, Spring",2.5,"Financial Accounting, Marketing Strategy, Principles of Management, Microeconomics, Business Law",70.6,5.4,Principles of Management,Marketing Strategy,Tangail,2.7,Morning,62.3,"64.6,54.7,53.5,64.5,62.3",Medium
U01264,Zubayer Rahman,Male,American International University-Bangladesh,Private,Mechanical Engineering,"Year 3, Summer",3.49,"Data Structures, Thermodynamics, Algorithms, Machine Learning, Database Systems, Circuit Analysis",76.9,5.9,Circuit Analysis,Database Systems,Jessore,7.1,Afternoon,83.8,"83.5,74.3,74.0,76.6,83.8",Low
U01265,Naeem Rahman,Male,"Independent University, Bangladesh",Private,Agriculture,"Year 1, Summer",3.89,"Ecology, Sustainable Development, Climate Change, Soil Science",91.4,7.1,Sustainable Development,"Climate Change, Soil Science",Cox's Bazar,7.0,Afternoon,97.2,"94.6,93.3,88.5,92.7,97.2",Low
U01266,Afia Khan,Female,Jagannath University,Public,MIS,"Year 3, Spring",3.33,"Financial Accounting, Business Law, Principles of Management, Marketing Strategy, Microeconomics",88.6,4.1,"Financial Accounting, Marketing Strategy","Principles of Management, Microeconomics",Kushtia,5.9,Afternoon,87.7,"79.2,88.9,90.4,82.1,87.7",Low
U01267,Arif Chowdhury,Male,Ahsanullah University of Science and Technology,Private,Software Engineering,"Year 4, Summer",3.67,"Thermodynamics, Database Systems, Data Structures, Circuit Analysis",86.4,6.6,Data Structures,"Database Systems, Circuit Analysis",Cox's Bazar,4.1,Evening,92.3,"94.8,88.6,91.7,85.2,92.3",Low
U01268,Ayesha Islam,Female,East West University,Private,Agriculture,"Year 3, Summer",3.34,"Sustainable Development, Climate Change, Soil Science, Ecology",97.2,7.8,"Soil Science, Climate Change",Ecology,Rajshahi,10.2,Afternoon,81.4,"80.1,73.5,76.2,77.9,81.4",Low
U01269,Mahmud Hossain,Male,Jahangirnagar University,Public,Biotechnology,"Year 2, Summer",3.11,"Human Anatomy, Organic Chemistry, Pharmacology, Genetics",90.3,5.9,Organic Chemistry,"Pharmacology, Human Anatomy",Jessore,5.2,Morning,79.3,"74.5,78.4,71.7,84.2,79.3",Low
U01270,Zubayer Hossain,Male,North South University,Private,Economics,"Year 1, Spring",3.16,"Microeconomics, Business Law, Marketing Strategy, Financial Accounting, Principles of Management",80.2,5.0,Marketing Strategy,"Microeconomics, Financial Accounting",Rangpur,9.0,Night,77.0,"73.1,67.4,74.7,75.4,77.0",Low
U01271,Mariam Rahman,Female,Daffodil International University,Private,Environmental Science,"Year 2, Spring",3.83,"Ecology, Soil Science, Sustainable Development, Climate Change",78.7,1.8,"Sustainable Development, Ecology","Climate Change, Soil Science",Bogura,5.1,Afternoon,98.7,"96.2,93.7,100,100,98.7",High
U01272,Arif Begum,Male,United International University,Private,Mechanical Engineering,"Year 2, Fall",2.89,"Machine Learning, Circuit Analysis, Thermodynamics, Database Systems, Algorithms, Data Structures",61.9,3.1,Thermodynamics,"Data Structures, Database Systems",Bogura,1,Evening,71.3,"63.9,63.7,73.4,70.3,71.3",Medium
U01273,Shakib Hossain,Male,North South University,Private,International Relations,"Year 3, Summer",2.59,"Social Psychology, Political Science, World History, Research Methodology",84.0,3.3,"Social Psychology, Political Science",World History,Cumilla,7.9,Morning,60.9,"58.9,60.2,61.2,65.2,60.9",Medium
U01274,Nadia Khan,Female,RUET,Public,Agriculture,"Year 1, Spring",3.63,"Sustainable Development, Climate Change, Soil Science, Ecology",88.5,2.5,Sustainable Development,"Climate Change, Ecology",Cox's Bazar,10.1,Morning,89.0,"79.4,90.4,88.0,82.3,89.0",Medium
U01275,Sadia Ali,Female,Ahsanullah University of Science and Technology,Private,Environmental Science,"Year 1, Fall",3.87,"Climate Change, Ecology, Sustainable Development, Soil Science",79.1,5.5,"Soil Science, Ecology",Sustainable Development,Jessore,10.1,Afternoon,95.7,"96.4,97.0,99.3,96.9,95.7",Low
U01276,Fahim Hossain,Male,American International University-Bangladesh,Private,CSE,"Year 3, Spring",2.22,"Algorithms, Database Systems, Circuit Analysis, Data Structures, Machine Learning, Thermodynamics",84.7,6.8,Data Structures,Circuit Analysis,Bogura,5.4,Evening,53.6,"44.0,52.2,49.0,51.9,53.6",High
U01277,Tasnia Sarker,Female,Chittagong University,Public,EEE,"Year 2, Summer",2.64,"Algorithms, Circuit Analysis, Database Systems, Thermodynamics, Data Structures",75.7,3.6,Algorithms,Thermodynamics,Khulna,4.5,Morning,62.0,"66.2,60.0,66.8,63.6,62.0",Medium
U01278,Adnan Uddin,Male,University of Liberal Arts Bangladesh,Private,Data Science,"Year 3, Fall",2.85,"Data Structures, Algorithms, Machine Learning, Database Systems, Circuit Analysis, Thermodynamics",77.8,6.7,"Data Structures, Database Systems","Thermodynamics, Algorithms",Sylhet,9.4,Afternoon,74.3,"70.0,66.6,76.9,70.5,74.3",Medium
U01279,Nabila Islam,Female,CUET,Public,International Relations,"Year 4, Fall",2.82,"World History, Social Psychology, Political Science, Research Methodology",53.3,3.2,Political Science,World History,Narayanganj,8.2,Morning,69.4,"63.7,65.0,67.8,71.9,69.4",High
U01280,Sabina Akter,Female,BRAC University,Private,Civil Engineering,"Year 3, Fall",3.66,"Circuit Analysis, Thermodynamics, Data Structures, Database Systems, Algorithms, Machine Learning",79.0,6.3,"Data Structures, Machine Learning",Algorithms,Mymensingh,5.3,Afternoon,90.9,"95.0,91.8,86.1,93.0,90.9",Low
U01281,Rahim Uddin,Male,Jagannath University,Public,Psychology,"Year 4, Summer",3.96,"Research Methodology, World History, Political Science, Social Psychology",93.0,8.4,"Research Methodology, Political Science",Social Psychology,Dhaka,4.5,Morning,95.5,"99.3,86.9,92.0,86.7,95.5",Low
U01282,Ayesha Islam,Female,United International University,Private,BBA,"Year 2, Fall",2.5,"Financial Accounting, Microeconomics, Principles of Management, Business Law",77.4,6.1,Principles of Management,"Microeconomics, Financial Accounting",Dhaka,5.5,Evening,64.8,"55.9,59.5,65.6,65.5,64.8",Medium
U01283,Adnan Chowdhury,Male,Chittagong University,Public,Agriculture,"Year 3, Summer",3.39,"Sustainable Development, Soil Science, Climate Change, Ecology",89.0,2.9,Soil Science,Sustainable Development,Dhaka,4.5,Evening,87.5,"79.2,82.6,82.3,82.3,87.5",Medium
U01284,Ayesha Hossain,Female,University of Dhaka,Public,BBA,"Year 1, Fall",3.51,"Business Law, Financial Accounting, Marketing Strategy, Microeconomics",80.9,4.8,Marketing Strategy,Microeconomics,Bogura,9.8,Afternoon,86.2,"76.3,77.1,83.0,84.7,86.2",Low
U01285,Sabina Khan,Female,Noakhali Science and Technology University,Public,Mechanical Engineering,"Year 3, Spring",3.89,"Machine Learning, Circuit Analysis, Algorithms, Database Systems",85.2,4.8,"Algorithms, Machine Learning",Database Systems,Chattogram,4.5,Morning,100,"100,100,91.1,91.4,100",Low
U01286,Siam Hossain,Male,Ahsanullah University of Science and Technology,Private,Psychology,"Year 2, Spring",3.2,"Political Science, Social Psychology, Research Methodology, World History",71.8,4.8,Research Methodology,"Social Psychology, World History",Jessore,9.3,Evening,77.3,"68.7,74.6,72.1,78.5,77.3",Medium
U01287,Nusrat Begum,Female,BRAC University,Private,Mechanical Engineering,"Year 2, Spring",4.0,"Machine Learning, Thermodynamics, Database Systems, Data Structures, Circuit Analysis",67.8,1.7,"Thermodynamics, Database Systems",Circuit Analysis,Bogura,2.0,Night,97.6,"95.5,89.4,100,93.6,97.6",High
U01288,Nabil Ali,Male,University of Liberal Arts Bangladesh,Private,Data Science,"Year 3, Fall",2.71,"Machine Learning, Algorithms, Database Systems, Circuit Analysis, Thermodynamics",84.4,9.0,"Machine Learning, Database Systems",Thermodynamics,Khulna,7.1,Evening,72.1,"62.5,64.0,66.7,71.3,72.1",Medium
U01289,Zubayer Ahmed,Male,Daffodil International University,Private,AI,"Year 4, Fall",3.15,"Data Structures, Circuit Analysis, Thermodynamics, Database Systems, Machine Learning",70.0,1.7,"Machine Learning, Data Structures","Database Systems, Circuit Analysis",Rajshahi,8.8,Night,76.1,"71.7,77.2,71.2,66.9,76.1",High
U01290,Naeem Chowdhury,Male,"Independent University, Bangladesh",Private,Journalism,"Year 2, Fall",3.12,"Mass Communication, Ethics, Literary Criticism, History of Art",59.9,5.2,"Mass Communication, Ethics","Literary Criticism, History of Art",Narayanganj,6.1,Evening,77.2,"70.2,75.4,75.5,77.4,77.2",High
U01291,Naeem Uddin,Male,"Independent University, Bangladesh",Private,History,"Year 2, Summer",3.16,"Literary Criticism, Mass Communication, History of Art, Ethics",86.1,4.9,"History of Art, Literary Criticism",Ethics,Khulna,11.0,Evening,83.0,"81.3,84.5,87.7,83.0,83.0",Low
U01292,Jannat Uddin,Female,Ahsanullah University of Science and Technology,Private,International Law,"Year 3, Spring",3.35,"Criminal Law, Jurisprudence, Constitutional Law, Civil Procedure",50,3.6,Criminal Law,"Constitutional Law, Civil Procedure",Rajshahi,6.3,Night,87.2,"81.2,81.4,90.7,80.8,87.2",High
U01293,Afia Khan,Female,CUET,Public,Accounting,"Year 3, Spring",2.79,"Marketing Strategy, Business Law, Financial Accounting, Microeconomics, Principles of Management",87.5,8.2,"Business Law, Principles of Management","Marketing Strategy, Microeconomics",Barishal,4.8,Night,73.7,"70.2,69.6,73.0,68.3,73.7",Medium
U01294,Jannat Begum,Female,United International University,Private,Mechanical Engineering,"Year 3, Spring",2.99,"Thermodynamics, Data Structures, Database Systems, Machine Learning",78.9,3.6,"Machine Learning, Database Systems","Thermodynamics, Data Structures",Jessore,5.8,Afternoon,72.5,"73.3,71.0,70.4,64.0,72.5",Medium
U01295,Fahim Hasan,Male,RUET,Public,LLB,"Year 1, Spring",2.95,"Constitutional Law, Civil Procedure, Criminal Law, Jurisprudence",96.6,6.2,"Criminal Law, Civil Procedure","Constitutional Law, Jurisprudence",Tangail,7.9,Morning,71.6,"61.9,75.3,71.6,63.8,71.6",Medium
U01296,Tanjila Begum,Female,"Independent University, Bangladesh",Private,Economics,"Year 1, Summer",2.68,"Financial Accounting, Marketing Strategy, Principles of Management, Microeconomics",80.5,1.9,"Marketing Strategy, Principles of Management",Financial Accounting,Rangpur,7.8,Evening,70.0,"71.2,61.1,74.6,68.1,70.0",High
U01297,Fariha Uddin,Female,Jahangirnagar University,Public,International Relations,"Year 3, Spring",3.65,"World History, Research Methodology, Social Psychology, Political Science",73.8,2.9,"Political Science, Research Methodology",World History,Rajshahi,6.1,Evening,95.5,"98.7,91.2,90.7,96.6,95.5",Medium
U01298,Adnan Hasan,Male,CUET,Public,Data Science,"Year 1, Summer",3.95,"Circuit Analysis, Data Structures, Algorithms, Database Systems, Machine Learning",82.5,4.1,Machine Learning,"Database Systems, Circuit Analysis",Barishal,6.9,Afternoon,95.0,"85.9,91.6,87.0,98.4,95.0",Low
U01299,Naeem Akter,Male,Noakhali Science and Technology University,Public,Finance,"Year 2, Summer",3.47,"Financial Accounting, Business Law, Marketing Strategy, Principles of Management, Microeconomics",99,4.7,Microeconomics,Principles of Management,Tangail,6.2,Night,89.1,"92.9,83.7,89.5,87.2,89.1",Low
U01300,Naeem Ahmed,Male,CUET,Public,MIS,"Year 1, Spring",3.54,"Principles of Management, Marketing Strategy, Business Law, Microeconomics, Financial Accounting",88.6,4.3,"Microeconomics, Principles of Management",Marketing Strategy,Cox's Bazar,3.0,Afternoon,90.1,"80.6,94.8,89.8,82.9,90.1",Low
U01301,Nabil Hossain,Male,"Independent University, Bangladesh",Private,Philosophy,"Year 1, Spring",3.51,"History of Art, Literary Criticism, Mass Communication, Ethics",97.9,6.4,History of Art,"Literary Criticism, Mass Communication",Sylhet,5.5,Evening,84.1,"78.4,78.3,78.8,85.9,84.1",Low
U01302,Jahid Islam,Male,Daffodil International University,Private,Agriculture,"Year 1, Spring",2.95,"Climate Change, Sustainable Development, Ecology, Soil Science",92.2,3.9,"Climate Change, Soil Science",Sustainable Development,Rangpur,4.7,Afternoon,69.7,"67.8,67.6,66.4,65.4,69.7",Medium
U01303,Mariam Rahman,Female,RUET,Public,LLB,"Year 3, Spring",4.0,"Criminal Law, Jurisprudence, Civil Procedure, Constitutional Law",86.5,7.5,Constitutional Law,"Civil Procedure, Criminal Law",Barishal,9.2,Night,100,"100,100,96.5,98.8,100",Low
U01304,Sajid Ahmed,Male,Ahsanullah University of Science and Technology,Private,Environmental Science,"Year 4, Fall",3.77,"Soil Science, Ecology, Sustainable Development, Climate Change",71.3,3.6,"Sustainable Development, Ecology",Climate Change,Cox's Bazar,3.5,Night,94.3,"96.8,95.4,93.6,86.8,94.3",Medium
U01305,Imtiaz Hasan,Male,East West University,Private,Agriculture,"Year 4, Summer",3.02,"Sustainable Development, Soil Science, Ecology, Climate Change",75.2,5.2,"Climate Change, Soil Science","Ecology, Sustainable Development",Gazipur,7.0,Evening,70.6,"63.5,64.5,71.5,74.6,70.6",Low
U01306,Nabil Akter,Male,Jatiya Kabi Kazi Nazrul Islam University,Public,Agriculture,"Year 1, Spring",3.37,"Climate Change, Sustainable Development, Ecology, Soil Science",86.9,8.0,"Climate Change, Ecology",Sustainable Development,Chattogram,3.4,Night,80.7,"73.4,74.4,81.8,77.2,80.7",Low
U01307,Sadia Chowdhury,Female,BRAC University,Private,Microbiology,"Year 1, Spring",3.7,"Pharmacology, Genetics, Organic Chemistry, Clinical Pharmacy, Human Anatomy",75.8,4.1,Human Anatomy,Clinical Pharmacy,Chattogram,5.1,Evening,94.1,"95.7,86.8,92.7,93.3,94.1",Low
U01308,Nusrat Uddin,Female,Daffodil International University,Private,Civil Engineering,"Year 1, Fall",2.73,"Thermodynamics, Circuit Analysis, Machine Learning, Database Systems, Algorithms, Data Structures",70.8,6.8,"Machine Learning, Thermodynamics",Database Systems,Gazipur,10.0,Afternoon,71.7,"73.2,70.9,67.2,71.3,71.7",Medium
U01309,Siam Sarker,Male,North South University,Private,Philosophy,"Year 2, Fall",3.91,"History of Art, Mass Communication, Literary Criticism, Ethics",92.3,3.8,"Ethics, History of Art","Literary Criticism, Mass Communication",Gazipur,6.9,Evening,100,"91.2,96.1,90.9,100,100",Medium
U01310,Nusrat Akter,Female,BRAC University,Private,Finance,"Year 2, Summer",3.92,"Microeconomics, Financial Accounting, Business Law, Principles of Management",79.9,5.6,"Microeconomics, Financial Accounting",Business Law,Tangail,8.1,Afternoon,100,"100,100,97.2,100,100",Low
U01311,Ayesha Hasan,Female,University of Dhaka,Public,BBA,"Year 2, Fall",3.95,"Principles of Management, Microeconomics, Marketing Strategy, Financial Accounting",74.7,3.2,"Microeconomics, Marketing Strategy","Financial Accounting, Principles of Management",Jessore,4.2,Afternoon,95.6,"94.0,86.0,97.6,93.6,95.6",Medium
U01312,Tanvir Chowdhury,Male,American International University-Bangladesh,Private,Data Science,"Year 3, Spring",4.0,"Algorithms, Data Structures, Database Systems, Circuit Analysis",75.3,4.3,"Database Systems, Circuit Analysis","Data Structures, Algorithms",Tangail,4.8,Morning,100,"97.8,100,97.1,99.5,100",Low
U01313,Sumaiya Uddin,Female,East West University,Private,Civil Engineering,"Year 3, Summer",3.19,"Data Structures, Machine Learning, Thermodynamics, Circuit Analysis",99,7.6,Thermodynamics,Machine Learning,Rajshahi,6.4,Evening,77.2,"76.4,72.3,75.7,76.3,77.2",Low
U01314,Sadia Begum,Female,Ahsanullah University of Science and Technology,Private,CSE,"Year 2, Spring",2.74,"Database Systems, Circuit Analysis, Thermodynamics, Machine Learning, Data Structures, Algorithms",92.8,4.6,Thermodynamics,"Database Systems, Algorithms",Kushtia,1.5,Afternoon,68.7,"68.3,62.1,70.4,67.1,68.7",Medium
U01315,Mahmud Islam,Male,North South University,Private,LLB,"Year 4, Fall",4.0,"Civil Procedure, Jurisprudence, Criminal Law, Constitutional Law",88.3,3.6,"Jurisprudence, Civil Procedure","Criminal Law, Constitutional Law",Kushtia,4.9,Afternoon,100,"100,100,97.3,100,100",Medium
U01316,Imtiaz Chowdhury,Male,Jahangirnagar University,Public,Anthropology,"Year 4, Fall",3.78,"Social Psychology, World History, Political Science, Research Methodology",98.6,4.9,"Social Psychology, Research Methodology","Political Science, World History",Khulna,2.2,Afternoon,96.1,"94.3,88.0,95.7,95.5,96.1",Low
U01317,Tanvir Uddin,Male,Daffodil International University,Private,Finance,"Year 2, Spring",3.89,"Marketing Strategy, Financial Accounting, Business Law, Microeconomics",93.0,4.5,"Microeconomics, Marketing Strategy","Business Law, Financial Accounting",Jessore,3.0,Afternoon,93.7,"90.3,97.5,95.7,91.0,93.7",Low
U01318,Jannat Begum,Female,Jatiya Kabi Kazi Nazrul Islam University,Public,Economics,"Year 4, Fall",3.1,"Microeconomics, Marketing Strategy, Financial Accounting, Principles of Management, Business Law",81.9,5.0,"Marketing Strategy, Business Law",Financial Accounting,Mymensingh,5.9,Evening,79.8,"77.7,71.9,80.4,78.9,79.8",Low
U01319,Naeem Rahman,Male,Ahsanullah University of Science and Technology,Private,Journalism,"Year 2, Spring",3.18,"Mass Communication, Literary Criticism, Ethics, History of Art",80.8,4.8,Literary Criticism,Mass Communication,Kushtia,4.9,Night,84.4,"82.0,85.4,75.5,78.0,84.4",Low
U01320,Farhana Islam,Female,Comilla University,Public,Agriculture,"Year 1, Fall",3.16,"Sustainable Development, Ecology, Soil Science, Climate Change",75.8,5.6,Climate Change,"Soil Science, Ecology",Gazipur,5.0,Evening,80.3,"80.1,83.4,73.4,78.4,80.3",Low
U01321,Farhana Islam,Female,Jatiya Kabi Kazi Nazrul Islam University,Public,Anthropology,"Year 1, Summer",3.96,"Political Science, Social Psychology, World History, Research Methodology",81.9,4.5,Political Science,Research Methodology,Kushtia,4.2,Evening,100,"100,97.2,100,98.3,100",Low
