student_id,name,gender,class_level,institution_name,subjects,study_hours_per_day,weak_subjects,strong_subjects,exam_score,attendance_percentage,district,device_usage_time,preferred_study_time,historical_scores
BD00381,Sumaiya Begum,Female,SSC,Viqarunnisa Noon School and College,"Chemistry, ICT, Biology, Math, English",2.1,"Math, ICT","Biology, Chemistry",51.1,88.3,Mymensingh,4.3,Morning,"43.9,45.9,46.9,51.1"
BD00382,Mim Sarker,Female,SSC,Ideal School and College,"Bangla, Chemistry, Math, English, ICT, Accounting",3.7,"English, Accounting","Bangla, Math",75.9,83.9,Rajshahi,4.6,Evening,"74.3,76.8,77.7,75.9"
BD00383,Fariha Ahmed,Female,University,Khulna University,"Math, Bangla, Accounting, Biology, ICT, English",6.8,"Biology, Accounting","ICT, Bangla",70.7,83.1,Khulna,3.3,Morning,"64.3,66.0,64.7,62.3,70.7"
BD00384,Nusrat Ahmed,Female,HSC,Dhaka College,"Math, Bangla, ICT, English, Accounting",5.9,"English, Bangla","ICT, Accounting",74.3,66.1,Rajshahi,5.7,Evening,"70.3,68.9,69.7,74.3"
BD00385,Rafi Islam,Male,SSC,Ideal School and College,"Bangla, ICT, Math, Biology, English",3.2,Math,"English, ICT",70.5,98.5,Chattogram,5.4,Morning,"61.7,62.2,64.4,70.5"
BD00386,Naeem Islam,Male,University,NSU,"ICT, Math, English, Physics, Bangla",4.4,ICT,"English, Bangla",83.3,87.6,Rangpur,6.3,Night,"80.2,82.4,80.2,79.2,83.3"
BD00387,Jannat Islam,Female,University,NSU,"English, Biology, Physics, Bangla, Accounting",3.7,"Accounting, Physics","Biology, English",49.7,81.8,Barishal,7.0,Night,"39.5,40.2,38.7,39.3,49.7"
BD00388,Arif Chowdhury,Male,HSC,Dhaka College,"English, Chemistry, Bangla, Physics, Accounting, Math, Biology",2.9,"Biology, English","Accounting, Chemistry",65.3,75.2,Barishal,5.3,Morning,"60.8,61.8,61.5,65.3"
BD00389,Mim Akter,Female,HSC,Rajshahi College,"ICT, Bangla, Chemistry, Accounting, Biology, English, Physics",2.1,"Biology, Chemistry","Physics, ICT",68.9,87.1,Sylhet,5.4,Evening,"61.8,60.2,59.4,68.9"
BD00390,Nabil Sarker,Male,SSC,Viqarunnisa Noon School and College,"English, Biology, Math, ICT, Chemistry, Bangla, Accounting",2.3,"ICT, Chemistry","English, Biology",70.4,71.8,Dhaka,7.6,Morning,"69.6,69.8,70.6,70.4"
BD00391,Mim Hossain,Female,SSC,Govt. Laboratory High School,"ICT, English, Physics, Biology, Chemistry",2.8,Physics,Chemistry,78.3,89.0,Khulna,3.8,Morning,"70.5,72.7,74.7,78.3"
BD00392,Mahmud Rahman,Male,University,BRAC University,"English, Accounting, Physics, Bangla, Biology",4.0,"Bangla, English","Accounting, Biology",73.4,96.5,Chattogram,3.7,Morning,"65.9,66.5,67.0,65.2,73.4"
BD00393,Jannat Hossain,Female,SSC,Dhaka Residential Model College,"Bangla, Accounting, Physics, Chemistry, ICT, English, Biology",3.0,Chemistry,English,76.2,79.8,Chattogram,3.0,Morning,"71.2,71.3,73.6,76.2"
BD00394,Sumaiya Akter,Female,University,Chittagong University,"Bangla, Physics, Math, Chemistry",2.5,Chemistry,"Math, Bangla",76.7,81.3,Mymensingh,8.6,Evening,"69.2,71.5,70.3,70.0,76.7"
BD00395,Naeem Ahmed,Male,University,BUET,"English, ICT, Accounting, Biology, Chemistry, Bangla",4.9,Biology,Bangla,67.9,67.0,Khulna,4.9,Evening,"57.9,56.0,53.8,52.3,67.9"
BD00396,Karim Rahman,Male,SSC,Govt. Laboratory High School,"Biology, Bangla, Chemistry, Physics, Math",2.9,Math,"Chemistry, Bangla",50.3,80.9,Rangpur,2.3,Night,"42.4,41.0,41.3,50.3"
BD00397,Rahim Chowdhury,Male,SSC,Ideal School and College,"Chemistry, Bangla, Biology, English, Math",2.4,"English, Biology","Bangla, Math",54.8,99,Mymensingh,6.3,Evening,"46.8,46.6,45.7,54.8"
BD00398,Karim Ahmed,Male,University,Chittagong University,"Math, Physics, English, Bangla, Chemistry, Accounting",2.8,Math,"Accounting, Chemistry",66.6,94.2,Rangpur,4.3,Morning,"58.0,56.8,57.0,58.2,66.6"
BD00399,Fariha Akter,Female,HSC,Notre Dame College,"Math, Physics, Chemistry, Biology, English, Bangla",2.5,"Chemistry, English","Bangla, Physics",76.3,88.2,Rangpur,4.4,Night,"75.3,73.6,72.3,76.3"
BD00400,Naeem Rahman,Male,HSC,Holy Cross College,"Biology, English, Bangla, Physics, ICT, Accounting, Chemistry",3.8,Chemistry,"Physics, Accounting",73.7,85.5,Mymensingh,3.6,Morning,"67.4,66.6,64.4,73.7"
BD00401,Mahmud Begum,Male,SSC,Viqarunnisa Noon School and College,"Chemistry, Accounting, English, Biology, Bangla",1.9,"English, Chemistry",Biology,64.1,67.7,Dhaka,2.2,Evening,"55.9,55.2,55.2,64.1"
BD00402,Arif Ahmed,Male,SSC,Ideal School and College,"ICT, Math, Biology, English, Physics",3.7,Math,"English, Biology",72.2,85.4,Khulna,4.3,Morning,"68.6,66.5,65.5,72.2"
BD00403,Rafi Islam,Male,University,Khulna University,"Biology, Bangla, Math, Chemistry, ICT",4.6,"Bangla, Chemistry","Biology, Math",45.5,89.6,Dhaka,5.8,Evening,"38.4,37.4,35.1,33.3,45.5"
BD00404,Mim Ahmed,Female,University,North South University,"Chemistry, Bangla, ICT, Biology",5.4,"ICT, Chemistry",Biology,69.4,90.7,Rangpur,7.8,Morning,"62.9,65.5,63.1,63.3,69.4"
BD00405,Mim Hossain,Female,SSC,Viqarunnisa Noon School and College,"Physics, ICT, Chemistry, English, Accounting, Bangla",1.4,"Chemistry, Bangla","English, ICT",60.4,74.8,Rangpur,4.5,Morning,"49.4,50.8,48.7,60.4"
BD00406,Nabil Begum,Male,SSC,Viqarunnisa Noon School and College,"Bangla, English, Physics, Accounting, Chemistry, ICT",2.9,"Physics, Accounting",Bangla,74.6,69.1,Sylhet,3.6,Night,"67.4,68.7,68.6,74.6"
BD00407,Shakib Chowdhury,Male,University,Chittagong University,"Physics, English, ICT, Bangla",5.1,Bangla,"English, ICT",70.2,58.4,Dhaka,5.9,Evening,"58.5,59.4,58.1,60.5,70.2"
BD00408,Tanvir Ahmed,Male,SSC,Rajshahi Collegiate School,"Math, Bangla, Physics, Biology, Chemistry",2.3,"Biology, Physics",Bangla,54.6,86.4,Barishal,3.8,Morning,"47.3,46.4,47.6,54.6"
BD00409,Rafi Akter,Male,SSC,Ideal School and College,"Biology, Bangla, Accounting, English, Physics, Math, ICT",3.1,ICT,"Math, Bangla",71.0,99,Gazipur,3.1,Evening,"61.7,64.5,64.5,71.0"
BD00410,Karim Rahman,Male,University,University of Dhaka,"Bangla, Biology, English, Chemistry, Accounting",5.6,"Chemistry, Biology","English, Bangla",77.7,87.6,Chattogram,6.9,Evening,"75.1,74.3,72.4,70.6,77.7"
BD00411,Ayesha Hossain,Female,HSC,Rajshahi College,"English, Bangla, Biology, Accounting, Chemistry, ICT",3.2,Biology,"English, ICT",50.7,78.1,Dhaka,6.3,Morning,"43.4,44.1,43.0,50.7"
BD00412,Nadia Akter,Female,SSC,Dhaka Residential Model College,"Biology, Bangla, Physics, Math, Accounting, Chemistry, English",2.5,"Math, Biology","Accounting, Bangla",60.6,96.2,Mymensingh,3.9,Evening,"53.9,55.0,56.5,60.6"
BD00413,Nusrat Akter,Female,SSC,Dhaka Residential Model College,"Chemistry, Bangla, Accounting, Math, English",3.7,Math,"Accounting, Bangla",85.8,88.2,Khulna,3.9,Morning,"78.5,78.1,77.7,85.8"
BD00414,Rahim Chowdhury,Male,SSC,Viqarunnisa Noon School and College,"Bangla, ICT, Accounting, English, Biology, Chemistry, Physics",3.5,"Accounting, ICT","English, Biology",53.0,88.2,Barishal,3.2,Morning,"43.0,41.8,41.4,53.0"
BD00415,Jahid Islam,Male,University,BUET,"Physics, English, ICT, Chemistry, Bangla, Math",4.3,"Physics, Chemistry",Math,75.1,84.5,Rangpur,5.1,Evening,"67.0,69.0,67.8,65.3,75.1"
BD00416,Nusrat Chowdhury,Female,HSC,Govt. M. M. City College,"English, Bangla, ICT, Biology, Physics, Chemistry, Accounting",5.2,"Chemistry, Bangla","English, Physics",49.4,86.5,Cumilla,4.0,Night,"41.2,40.8,40.0,49.4"
BD00417,Farhana Ahmed,Female,HSC,Govt. M. M. City College,"Biology, Math, Accounting, English, ICT, Physics, Chemistry",5.4,English,"Math, Chemistry",56.5,82.6,Dhaka,5.0,Morning,"52.8,52.6,53.2,56.5"
BD00418,Mahmud Rahman,Male,University,Chittagong University,"Chemistry, English, Bangla, Accounting",4.6,"Bangla, Chemistry","English, Accounting",70.1,81.4,Sylhet,7.1,Night,"63.9,63.8,62.2,61.6,70.1"
BD00419,Nusrat Sarker,Female,HSC,Rajshahi College,"ICT, Bangla, Accounting, English, Physics",5.9,"Physics, Accounting","ICT, Bangla",84.0,93.5,Khulna,5.5,Evening,"81.7,83.3,83.5,84.0"
BD00420,Rafi Chowdhury,Male,University,Chittagong University,"Math, English, Bangla, Chemistry",6.2,"English, Math","Chemistry, Bangla",56.0,81.2,Sylhet,7.2,Night,"49.1,47.9,45.9,43.8,56.0"
BD00421,Nabil Hasan,Male,SSC,Ideal School and College,"Chemistry, Math, English, Physics, ICT, Bangla, Accounting",3.0,Accounting,Bangla,75.0,88.7,Dhaka,4.5,Morning,"70.7,72.6,73.1,75.0"
BD00422,Karim Begum,Male,HSC,Dhaka College,"Bangla, Biology, Physics, ICT, Chemistry, Accounting",3.7,Accounting,"Physics, Chemistry",70.7,85.8,Sylhet,3.5,Night,"65.3,63.2,63.4,70.7"
BD00423,Fahim Chowdhury,Male,HSC,Govt. M. M. City College,"ICT, Chemistry, Accounting, Math, Physics, English, Biology",4.0,"Chemistry, ICT",Physics,61.7,85.5,Mymensingh,4.9,Evening,"55.1,54.4,53.4,61.7"
BD00424,Mahmud Khan,Male,HSC,Notre Dame College,"English, ICT, Bangla, Physics, Biology, Math",3.1,"Physics, Biology",ICT,66.3,93.8,Chattogram,4.8,Morning,"60.4,63.2,65.3,66.3"
BD00425,Sadia Sarker,Female,University,United International University,"Physics, ICT, Biology, Bangla",2.6,Bangla,"Biology, Physics",74.0,94.3,Chattogram,4.6,Night,"71.6,70.0,69.8,69.1,74.0"
BD00426,Farhana Islam,Female,SSC,Dhaka Residential Model College,"Chemistry, Math, English, Biology, ICT",3.3,ICT,English,83.3,88.3,Gazipur,3.8,Morning,"80.1,80.7,80.3,83.3"
BD00427,Shakib Akter,Male,SSC,Rajshahi Collegiate School,"Accounting, ICT, English, Bangla, Biology, Physics",4.5,Bangla,Accounting,67.9,67.1,Rangpur,4.8,Morning,"65.3,65.8,64.6,67.9"
BD00428,Sajid Chowdhury,Male,SSC,Ideal School and College,"Accounting, Biology, Physics, Bangla, ICT",6.4,"Physics, Biology","ICT, Bangla",60.4,86.7,Barishal,4.5,Morning,"54.8,56.7,55.4,60.4"
BD00429,Mariam Sarker,Female,HSC,Dhaka College,"Physics, ICT, Math, Accounting, Biology, Chemistry, Bangla",2.1,Chemistry,"Bangla, ICT",56.8,79.0,Rajshahi,4.1,Night,"50.3,49.4,49.1,56.8"
BD00430,Rafi Khan,Male,SSC,Dhaka Residential Model College,"Physics, Bangla, English, ICT, Chemistry, Math, Biology",3.2,"Physics, Biology","Math, Chemistry",76.2,91.4,Barishal,7.3,Morning,"71.9,71.3,70.2,76.2"
BD00431,Nadia Islam,Female,University,BRAC University,"Chemistry, Biology, Accounting, English, Bangla, Physics",3.8,"English, Chemistry","Accounting, Biology",56.8,96.4,Rajshahi,7.4,Night,"51.2,50.7,50.3,52.8,56.8"
BD00432,Nadia Islam,Female,University,Khulna University,"ICT, Accounting, Physics, Chemistry, Bangla",3.4,ICT,"Bangla, Accounting",63.5,76.1,Cumilla,3.9,Night,"59.8,58.6,59.8,59.4,63.5"
BD00433,Shakib Akter,Male,University,United International University,"Chemistry, ICT, Physics, English, Biology",3.1,"ICT, English","Chemistry, Physics",78.3,73.7,Gazipur,8.3,Morning,"71.5,70.2,68.1,67.3,78.3"
BD00434,Naeem Hasan,Male,University,North South University,"Math, English, ICT, Accounting",1.1,"English, Accounting","ICT, Math",89.9,89.1,Cumilla,6.0,Morning,"85.6,86.5,88.1,90.1,89.9"
BD00435,Ayesha Sarker,Female,HSC,Dhaka College,"ICT, Bangla, English, Chemistry, Accounting, Math",3.7,"Math, English","Bangla, Accounting",58.1,65.9,Rajshahi,3.1,Morning,"49.1,49.2,48.8,58.1"
BD00436,Farhana Khan,Female,HSC,Holy Cross College,"ICT, Physics, Accounting, English, Biology, Math",4.4,"Physics, ICT",Accounting,62.2,87.2,Mymensingh,5.4,Night,"59.7,60.8,60.5,62.2"
BD00437,Tanjila Chowdhury,Female,University,University of Dhaka,"Bangla, Chemistry, Biology, Physics, Math",3.7,"Physics, Chemistry","Bangla, Math",96.3,81.4,Khulna,2.8,Evening,"87.7,89.8,90.8,92.1,96.3"
BD00438,Arif Ahmed,Male,SSC,Dhaka Residential Model College,"Math, Physics, Biology, English, Chemistry",3.4,"Biology, Math","English, Physics",78.9,76.5,Mymensingh,4.6,Night,"73.8,73.9,74.1,78.9"
BD00439,Farhana Akter,Female,SSC,Ideal School and College,"Math, Bangla, Accounting, ICT, Biology",3.2,"Bangla, ICT",Math,49.5,76.5,Cumilla,3.0,Morning,"42.9,41.2,38.9,49.5"
BD00440,Mariam Khan,Female,University,University of Dhaka,"Biology, Math, Chemistry, Accounting",4.1,"Math, Biology","Accounting, Chemistry",39.3,81.1,Rangpur,3.4,Night,"29.1,28.0,28.0,28.0,39.3"
BD00441,Shakib Hossain,Male,SSC,Viqarunnisa Noon School and College,"Physics, ICT, English, Bangla, Math, Chemistry",3.7,"Math, Physics","ICT, Bangla",52.1,99,Barishal,2.7,Morning,"48.8,47.8,49.9,52.1"
BD00442,Ayesha Hasan,Female,SSC,Viqarunnisa Noon School and College,"Bangla, English, Chemistry, Physics, Biology, Math",3.8,"Biology, Bangla","Physics, Math",50.8,87.4,Sylhet,3.0,Morning,"42.4,42.4,43.3,50.8"
BD00443,Naeem Hasan,Male,HSC,Govt. M. M. City College,"Accounting, English, Chemistry, Physics, ICT",5.1,"Physics, Chemistry","Accounting, ICT",62.9,76.9,Dhaka,5.2,Night,"60.3,58.5,57.8,62.9"
BD00444,Mahmud Hossain,Male,HSC,Notre Dame College,"Math, Biology, Chemistry, Bangla, Physics, English",3.9,"English, Math","Biology, Physics",63.2,79.0,Mymensingh,4.4,Evening,"57.7,58.5,56.8,63.2"
BD00445,Rafi Begum,Male,University,University of Dhaka,"Chemistry, Math, Bangla, Biology",4.3,"Chemistry, Bangla","Math, Biology",60.9,81.6,Rangpur,6.4,Evening,"49.2,49.8,48.2,46.8,60.9"
BD00446,Nusrat Begum,Female,HSC,Notre Dame College,"Physics, ICT, Bangla, English, Chemistry",1.6,"ICT, English","Bangla, Physics",78.9,78.5,Khulna,6.9,Morning,"76.3,77.8,79.1,78.9"
BD00447,Sumaiya Chowdhury,Female,SSC,Govt. Laboratory High School,"Bangla, ICT, Chemistry, Accounting, Physics, Biology",1.7,"Biology, Bangla",ICT,78.3,70.6,Rangpur,6.6,Morning,"69.2,70.2,70.5,78.3"
BD00448,Fariha Chowdhury,Female,University,Jahangirnagar University,"ICT, Math, Biology, English, Physics, Bangla",5.2,"Biology, Physics","Bangla, ICT",56.9,83.7,Dhaka,7.6,Morning,"56.3,56.8,57.2,58.7,56.9"
BD00449,Farhana Chowdhury,Female,HSC,Rajshahi College,"Physics, Math, ICT, Biology, English, Chemistry, Accounting",4.2,"ICT, Biology","Accounting, Chemistry",63.1,64.8,Gazipur,2.3,Morning,"60.4,60.5,61.7,63.1"
BD00450,Jannat Islam,Female,HSC,Rajshahi College,"Math, English, Accounting, Biology, Bangla",2.6,"Accounting, Bangla",Math,83.5,80.3,Cumilla,5.1,Evening,"77.9,79.2,80.8,83.5"
BD00451,Ayesha Ahmed,Female,University,BRAC University,"Bangla, ICT, Accounting, Biology",5.3,Accounting,ICT,84.9,80.0,Gazipur,5.5,Evening,"75.6,74.6,76.4,75.6,84.9"
BD00452,Farhana Begum,Female,University,NSU,"Biology, Chemistry, Math, Accounting, Physics, Bangla",2.6,Math,Biology,53.1,62.5,Rajshahi,4.6,Night,"46.6,46.8,45.9,45.7,53.1"
BD00453,Sadia Khan,Female,University,BRAC University,"English, Chemistry, ICT, Physics",3.5,"Physics, ICT","Chemistry, English",78.0,67.0,Barishal,7.9,Evening,"72.5,72.4,72.7,73.6,78.0"
BD00454,Tanjila Khan,Female,University,United International University,"Chemistry, ICT, English, Math, Bangla",1.7,"Chemistry, ICT","Math, Bangla",70.3,73.5,Cumilla,5.1,Evening,"61.8,63.4,62.3,63.3,70.3"
BD00455,Naeem Ahmed,Male,HSC,Holy Cross College,"Math, English, ICT, Chemistry, Accounting, Physics, Biology",6.5,"Chemistry, Biology","ICT, Math",81.7,78.0,Dhaka,2.1,Night,"73.7,73.8,75.0,81.7"
BD00456,Fahim Hossain,Male,University,Khulna University,"Chemistry, Bangla, Math, English, Accounting",3.8,English,"Bangla, Math",73.8,64.7,Gazipur,6.1,Morning,"68.8,69.6,68.8,70.0,73.8"
BD00457,Mahmud Begum,Male,HSC,Dhaka College,"English, Biology, Accounting, Chemistry, Bangla, Physics, ICT",3.6,"English, Chemistry","Bangla, Physics",70.7,97.4,Rajshahi,6.3,Morning,"64.7,64.1,64.9,70.7"
BD00458,Ayesha Chowdhury,Female,HSC,Govt. M. M. City College,"Biology, Chemistry, Accounting, ICT, Physics, Math, English",4.1,"English, Accounting","Biology, ICT",57.9,81.3,Cumilla,4.3,Evening,"51.4,50.5,50.2,57.9"
BD00459,Naeem Akter,Male,SSC,Rajshahi Collegiate School,"Bangla, Physics, Accounting, Math, English, Chemistry",3.8,Bangla,English,58.3,74.4,Khulna,4.2,Morning,"52.8,51.9,50.3,58.3"
BD00460,Mariam Ahmed,Female,SSC,Govt. Laboratory High School,"Accounting, Chemistry, English, ICT, Math, Bangla, Physics",2.7,Bangla,"Math, ICT",91.3,87.3,Chattogram,4.7,Morning,"84.6,82.8,81.2,91.3"
BD00461,Jannat Hasan,Female,HSC,Notre Dame College,"Accounting, Physics, Biology, Math, Chemistry",5.3,"Accounting, Math","Chemistry, Physics",79.4,92.8,Cumilla,1.6,Evening,"71.4,74.2,72.8,79.4"
BD00462,Sadia Hossain,Female,HSC,Dhaka College,"ICT, Bangla, Biology, Chemistry, Physics, Math, English",3.2,Math,"Biology, Chemistry",85.5,88.5,Gazipur,5.0,Evening,"74.4,73.8,73.5,85.5"
BD00463,Sadia Rahman,Female,HSC,Holy Cross College,"Biology, Bangla, Accounting, English, Math, Chemistry, Physics",1.7,Accounting,"Chemistry, Physics",46.1,78.0,Gazipur,4.1,Night,"40.6,39.5,39.5,46.1"
BD00464,Jahid Islam,Male,SSC,Ideal School and College,"Biology, Chemistry, Math, Accounting, English, ICT, Physics",3.7,"ICT, English","Biology, Math",81.7,62.2,Gazipur,2.8,Morning,"78.0,77.4,78.4,81.7"
BD00465,Naeem Begum,Male,University,North South University,"Biology, Physics, Chemistry, Math",2.3,Biology,"Physics, Math",51.3,66.8,Dhaka,1.3,Night,"43.3,42.6,40.5,40.3,51.3"
BD00466,Mahmud Islam,Male,University,United International University,"Physics, Biology, Math, ICT",3.1,"Physics, Biology",Math,78.7,68.9,Mymensingh,1.4,Night,"69.0,68.8,70.2,68.0,78.7"
BD00467,Rahim Khan,Male,HSC,Holy Cross College,"Biology, Physics, Bangla, Chemistry, English, Accounting",4.0,"English, Chemistry",Bangla,84.7,73.8,Rajshahi,3.7,Evening,"76.5,77.7,77.9,84.7"
BD00468,Tanvir Chowdhury,Male,SSC,Dhaka Residential Model College,"Bangla, Biology, Chemistry, Accounting, ICT, English",5.4,"Bangla, Chemistry",Accounting,61.6,82.9,Dhaka,5.6,Morning,"52.8,50.6,50.1,61.6"
BD00469,Fahim Khan,Male,SSC,Dhaka Residential Model College,"Chemistry, Math, Physics, English, ICT, Bangla, Biology",2.8,"Physics, Bangla",ICT,43.2,86.7,Mymensingh,3.7,Morning,"33.0,31.7,30.4,43.2"
BD00470,Jannat Chowdhury,Female,HSC,Dhaka College,"ICT, Accounting, Math, Physics, Biology",5.3,"Accounting, Math","Biology, ICT",59.1,91.5,Mymensingh,1.0,Morning,"53.0,55.3,54.7,59.1"
BD00471,Shakib Sarker,Male,University,BRAC University,"Biology, ICT, Chemistry, Accounting, Physics, Bangla",2.7,Chemistry,"ICT, Accounting",60.9,72.2,Rajshahi,4.2,Night,"53.3,52.1,55.1,54.6,60.9"
BD00472,Jannat Hasan,Female,University,BRAC University,"Bangla, Physics, English, Biology, Math",5.2,"Physics, English","Math, Biology",68.2,86.1,Gazipur,5.2,Morning,"64.0,65.4,63.6,63.7,68.2"
BD00473,Farhana Sarker,Female,University,United International University,"Biology, Physics, Math, Accounting, English",2.8,"Physics, Math",Biology,87.5,83.4,Gazipur,6.6,Evening,"79.2,77.9,79.9,82.0,87.5"
BD00474,Karim Hasan,Male,HSC,Holy Cross College,"English, ICT, Math, Chemistry, Physics",6.5,"ICT, English","Chemistry, Math",65.7,84.4,Mymensingh,5.7,Night,"59.1,59.8,61.9,65.7"
BD00475,Mim Akter,Female,University,Chittagong University,"Physics, ICT, Math, English, Chemistry, Accounting",3.8,"ICT, Physics",Accounting,51.2,75.1,Dhaka,6.2,Night,"40.3,41.4,42.4,39.9,51.2"
BD00476,Nusrat Islam,Female,University,NSU,"Biology, ICT, Math, Accounting",6.6,Accounting,"ICT, Biology",71.3,69.7,Barishal,2.1,Night,"60.4,62.4,60.9,61.4,71.3"
BD00477,Tanvir Khan,Male,SSC,Ideal School and College,"Biology, Bangla, Math, Accounting, Physics, English",3.4,"English, Math","Biology, Bangla",56.2,84.9,Rajshahi,3.9,Night,"49.1,51.5,50.6,56.2"
BD00478,Rafi Ahmed,Male,University,University of Dhaka,"English, Physics, Biology, Math, ICT, Bangla",6.6,"Biology, Physics","Bangla, ICT",67.7,87.3,Barishal,1.6,Evening,"60.4,58.3,58.2,58.3,67.7"
BD00479,Sabina Ahmed,Female,HSC,Dhaka College,"Bangla, English, Chemistry, Biology, ICT, Accounting",4.8,English,"ICT, Chemistry",72.8,86.4,Sylhet,6.6,Evening,"67.1,64.8,63.0,72.8"
BD00480,Fahim Khan,Male,University,University of Dhaka,"Chemistry, Math, Bangla, ICT, Biology, English",4.6,"Chemistry, Biology",English,78.2,89.8,Rajshahi,6.7,Evening,"71.8,71.3,69.7,71.4,78.2"
BD00481,Fahim Chowdhury,Male,University,Chittagong University,"Accounting, English, Chemistry, Physics, Bangla",4.1,"Physics, Bangla","Chemistry, English",56.9,80.3,Chattogram,3.5,Evening,"53.4,51.1,52.5,50.1,56.9"
BD00482,Jannat Ahmed,Female,University,University of Dhaka,"Biology, ICT, English, Chemistry",5.6,"English, Chemistry","ICT, Biology",69.1,68.0,Dhaka,4.1,Night,"61.4,62.0,62.5,63.5,69.1"
BD00483,Karim Hossain,Male,HSC,Govt. M. M. City College,"ICT, English, Accounting, Biology, Physics, Bangla, Chemistry",4.2,"Biology, Physics",English,69.4,79.7,Chattogram,5.9,Evening,"59.9,59.3,58.4,69.4"
BD00484,Jahid Islam,Male,University,Jahangirnagar University,"English, Math, Physics, Biology, ICT, Accounting",4.4,"Biology, Math","Accounting, English",52.5,83.1,Khulna,7.3,Evening,"47.3,47.9,48.3,50.4,52.5"
BD00485,Ayesha Akter,Female,University,Rajshahi University,"Bangla, Biology, Physics, Math, Chemistry",1.3,"Physics, Math","Bangla, Biology",63.4,85.5,Khulna,7.8,Night,"60.7,60.5,61.8,60.2,63.4"
BD00486,Tanjila Akter,Female,HSC,Govt. M. M. City College,"Physics, Chemistry, Biology, ICT, English, Math, Accounting",4.8,"Accounting, Physics","Biology, English",67.5,91.6,Dhaka,4.8,Morning,"59.5,61.7,61.0,67.5"
BD00487,Ayesha Begum,Female,University,NSU,"Math, English, Bangla, Accounting, Biology, Physics",4.4,English,"Physics, Bangla",64.1,93.3,Mymensingh,7.2,Morning,"56.5,56.7,55.2,54.6,64.1"
BD00488,Nadia Ahmed,Female,University,North South University,"English, Biology, ICT, Accounting, Physics, Chemistry",4.6,"Chemistry, ICT","Biology, Accounting",68.2,94.4,Cumilla,4.2,Night,"57.4,55.1,54.5,54.0,68.2"
BD00489,Tanjila Rahman,Female,HSC,Rajshahi College,"Chemistry, Biology, ICT, Physics, Accounting, Math, English",3.1,ICT,"English, Math",58.2,75.2,Dhaka,2.5,Evening,"50.1,47.8,46.0,58.2"
BD00490,Sadia Khan,Female,University,United International University,"Accounting, English, Math, Biology, ICT, Physics",2.4,"ICT, Physics","English, Accounting",75.2,97.0,Chattogram,7.0,Night,"69.1,71.3,69.3,69.6,75.2"
BD00491,Karim Islam,Male,HSC,Rajshahi College,"Math, English, Biology, Accounting, ICT, Physics, Chemistry",4.2,"Math, ICT","Accounting, Physics",83.1,63.2,Sylhet,2.3,Morning,"74.7,72.7,74.4,83.1"
BD00492,Mim Hossain,Female,HSC,Holy Cross College,"Math, ICT, English, Chemistry, Accounting, Biology, Bangla",5.0,Biology,Bangla,76.7,90.8,Chattogram,4.7,Night,"74.9,73.4,74.5,76.7"
BD00493,Jannat Begum,Female,University,University of Dhaka,"Physics, ICT, Accounting, Bangla, English",4.5,"Accounting, ICT","English, Physics",67.5,99,Rangpur,4.6,Evening,"61.2,60.0,58.8,57.8,67.5"
BD00494,Naeem Hossain,Male,SSC,Viqarunnisa Noon School and College,"Biology, Chemistry, Math, Bangla, Physics",3.5,Biology,"Math, Bangla",80.8,66.3,Chattogram,3.2,Morning,"75.4,73.9,74.6,80.8"
BD00495,Fahim Ahmed,Male,SSC,Rajshahi Collegiate School,"English, Biology, Math, Bangla, Accounting",4.3,"English, Biology","Accounting, Bangla",43.3,81.7,Sylhet,5.7,Evening,"35.9,35.2,33.2,43.3"
BD00496,Nusrat Hasan,Female,University,North South University,"Chemistry, Accounting, ICT, English, Physics",2.6,"English, Chemistry","ICT, Physics",75.2,76.2,Sylhet,3.5,Night,"65.0,65.3,63.7,64.1,75.2"
BD00497,Fariha Hossain,Female,HSC,Rajshahi College,"ICT, Math, Accounting, Physics, Biology, Bangla",3.4,"ICT, Physics","Accounting, Math",73.7,85.6,Mymensingh,4.2,Evening,"69.2,67.8,68.9,73.7"
BD00498,Sajid Rahman,Male,University,Rajshahi University,"Chemistry, Physics, Accounting, Bangla, Biology",3.4,Accounting,"Chemistry, Bangla",78.9,72.0,Rangpur,8.7,Morning,"67.4,66.5,65.8,63.6,78.9"
BD00499,Tanvir Sarker,Male,HSC,Rajshahi College,"ICT, Accounting, Bangla, Physics, Math, Biology, Chemistry",4.9,"Math, Physics",Chemistry,83.6,72.1,Chattogram,6.0,Morning,"76.8,76.9,77.8,83.6"
BD00500,Shakib Rahman,Male,SSC,Viqarunnisa Noon School and College,"Chemistry, Accounting, Math, Physics, Bangla, Biology, ICT",1.4,"Bangla, Math","Physics, Biology",74.9,83.6,Mymensingh,6.5,Morning,"63.7,64.0,63.6,74.9"
BD00501,Arif Hossain,Male,University,University of Dhaka,"ICT, Accounting, English, Bangla, Physics, Biology",7.0,"English, Accounting","Physics, ICT",73.2,83.4,Rajshahi,4.9,Night,"67.7,66.6,67.7,67.2,73.2"
BD00502,Sajid Begum,Male,SSC,Viqarunnisa Noon School and College,"Math, Chemistry, English, Biology, Bangla",5.5,"Biology, Bangla","Math, Chemistry",98,78.6,Sylhet,4.6,Evening,"92.4,93.9,93.3,98"
